Driver,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,RaceElapsedTime,AirTemp,Humidity,TrackTemp,WindSpeed,WindDirection,TrackStatus,PitStopNextLap,LapsRemaining
2,11.0,1.0,3,14.0,0,-0.020338469933572162,-0.2017286330889943,0.4590484962040472,0.44134754861724684,313.0,329.0,308.0,334.0,14.0,882.501,29.9,41.0,43.9,2.2,162,1,0,40.0
2,12.0,1.0,3,15.0,0,0.2641032913645293,-0.17715124636508198,2.6815422506669377,0.3794338587116448,315.0,329.0,308.0,332.0,14.0,970.194,29.9,41.0,43.9,1.8,181,1,0,39.0
2,13.0,1.0,3,16.0,0,0.06696818993700947,-0.20292753000235633,1.420067167368423,0.32990290678716455,313.0,325.0,308.0,333.0,13.0,1058.91,29.8,41.0,43.1,1.2,172,1,0,38.0
2,14.0,1.0,3,17.0,0,0.06251944293723322,-0.18584324898695367,1.2035618115658695,0.3537158644431635,314.0,330.0,307.0,319.0,11.0,1146.917,29.9,41.0,43.7,1.2,199,1,0,37.0
2,15.0,1.0,3,18.0,0,-0.094298888804829,-0.1534730323261898,0.5452087908601665,-0.002525982090600038,310.0,311.0,305.0,326.0,11.0,1234.908,30.0,42.0,43.7,2.0,258,1,0,36.0
2,16.0,1.0,3,19.0,0,0.016085646127083734,-0.08093976906781161,0.7352032867685215,0.06319778103995993,309.0,309.0,307.0,313.0,10.0,1322.335,30.0,42.0,43.5,0.8,156,1,0,35.0
2,17.0,1.0,3,20.0,0,-0.08234288124293257,-0.12260143680712766,0.48555935609823775,-0.033959086196521646,312.0,310.0,307.0,315.0,10.0,1410.159,29.9,41.0,43.7,1.7,0,1,0,34.0
2,18.0,1.0,3,21.0,0,-0.03674322449524089,-0.11630722801197893,0.5385810758866189,0.07939059224603963,309.0,308.0,306.0,313.0,10.0,1497.629,29.8,39.0,43.5,1.5,268,1,0,33.0
2,19.0,1.0,3,22.0,0,-0.011440975934023625,-0.06835135147751413,0.4546300195550181,0.04986252475260038,308.0,310.0,306.0,312.0,10.0,1585.263,29.8,40.0,43.6,1.2,158,1,0,32.0
2,20.0,1.0,3,23.0,0,0.1868063122434413,-0.12050336720874547,1.1107738019362106,0.6118483254342076,313.0,310.0,308.0,319.0,9.0,1672.988,29.9,40.0,44.3,0.8,201,1,0,31.0
2,21.0,1.0,3,24.0,0,0.3553026048599087,-0.0881331505479816,1.694012719608379,0.8347376090943723,314.0,314.0,308.0,317.0,10.0,1761.426,30.0,39.0,44.3,1.2,82,1,0,30.0
2,22.0,1.0,3,25.0,0,0.09727527887297352,-0.07464556027266286,0.9008961611072046,0.24989136906300383,312.0,313.0,308.0,319.0,9.0,1850.47,30.0,39.0,44.0,1.3,145,1,0,29.0
